project_id,project_name,category,business_unit,priority,project_manager,start_date,planned_duration_days,budget_usd,complexity_score,team_size,planned_end_date,status,progress_percent,schedule_variance_days,actual_end_date,budget_variance_pct,actual_cost_usd,expected_roi_pct,business_value_score,risk_score,quality_score,stakeholder_satisfaction
ADV-0030,AI/ML Implementation Project 030,Software Development,Finance,High,PM J,2024-03-06,204,903499,8,21,2024-09-26,Delayed,84.0,-339,2024-09-26,0.5,1355248.5,133,1,4,10,8
ADV-0031,Data Analytics Project 031,Software Development,Operations,Medium,PM K,2024-01-01,144,1073980,3,19,2024-05-24,Completed,100.0,-432,2025-07-30,0.5,1610970.0,63,1,4,7,9
ADV-0032,AI/ML Implementation Project 032,Data Analytics,Finance,Medium,PM L,2023-09-21,137,168033,6,15,2024-02-05,Completed,100.0,-541,2025-07-30,0.5,252049.5,118,3,4,8,10
ADV-0033,AI/ML Implementation Project 033,Software Development,Technology,High,PM M,2024-01-16,425,680265,1,18,2025-03-16,Completed,100.0,-136,2025-07-30,0.09183955757840846,742740.2366360761,75,10,6,6,6
ADV-0034,Software Development Project 034,Digital Transformation,HR,High,PM N,2024-03-28,60,663157,7,10,2024-05-27,Completed,100.0,-429,2025-07-30,0.5,994735.5,137,4,7,6,9
ADV-0035,Data Analytics Project 035,Digital Transformation,Marketing,Medium,PM O,2023-10-21,110,871106,1,21,2024-02-08,Completed,100.0,-537,2025-07-29,0.5,1306659.0,148,5,6,6,6
ADV-0036,Cloud Migration Project 036,AI/ML Implementation,Finance,Medium,PM P,2023-06-04,232,1265502,9,20,2024-01-22,Delayed,85.0,-589,2024-01-22,0.5,1898253.0,23,2,1,8,9
ADV-0037,Data Analytics Project 037,Cloud Migration,Technology,High,PM Q,2024-06-23,264,910120,1,3,2025-03-14,Delayed,76.0,-201,2025-03-14,0.16070611320811637,1056381.8477529709,20,8,8,8,5
ADV-0038,Cloud Migration Project 038,Software Development,Marketing,High,PM R,2023-08-21,319,481734,1,16,2024-07-05,Delayed,83.0,-444,2024-07-05,0.2699895721726229,611797.1565610063,87,2,10,9,5
ADV-0039,Software Development Project 039,Software Development,HR,Critical,PM S,2024-05-23,428,1471796,7,21,2025-07-25,Completed,100.0,-5,2025-07-30,0.15856577643998884,1705172.4755012698,117,9,7,7,5
ADV-0040,Digital Transformation Project 040,Data Analytics,Marketing,Critical,PM T,2024-01-03,347,715627,2,17,2024-12-15,Completed,100.0,-226,2025-07-29,0.1724922220117121,839067.0913615755,55,2,6,9,5
ADV-0041,AI/ML Implementation Project 041,Digital Transformation,Technology,Low,PM A,2023-11-22,93,271897,5,20,2024-02-23,Completed,100.0,-523,2025-07-30,0.5,407845.5,128,9,6,7,5
ADV-0042,Software Development Project 042,Cloud Migration,Marketing,Medium,PM B,2023-10-21,407,51062,8,4,2024-12-01,Completed,100.0,-241,2025-07-30,0.34358914443261795,68606.34889301834,22,7,5,8,5
ADV-0043,AI/ML Implementation Project 043,AI/ML Implementation,Operations,High,PM C,2023-08-19,154,1346312,8,24,2024-01-20,Completed,100.0,-557,2025-07-30,0.5,2019468.0,86,8,6,8,6
ADV-0044,Digital Transformation Project 044,Digital Transformation,Marketing,Low,PM D,2023-09-19,131,145462,3,19,2024-01-28,Completed,100.0,-549,2025-07-30,0.3644534152866227,198476.1226944227,106,2,9,9,8
ADV-0045,Digital Transformation Project 045,AI/ML Implementation,Finance,Medium,PM E,2024-06-25,98,1498021,7,20,2024-10-01,Completed,100.0,-302,2025-07-30,0.5,2247031.5,76,7,10,10,9
ADV-0046,Software Development Project 046,Data Analytics,Finance,Medium,PM F,2023-11-20,213,820173,3,8,2024-06-20,Completed,100.0,-405,2025-07-30,0.2170929641094949,998226.7876525768,98,6,9,9,5
ADV-0047,Digital Transformation Project 047,Data Analytics,Operations,Medium,PM G,2023-07-23,309,622203,6,21,2024-05-27,Completed,100.0,-428,2025-07-29,0.27372439339600607,792515.1387441752,76,4,10,7,6
ADV-0048,Cloud Migration Project 048,Software Development,Technology,Critical,PM H,2023-07-18,221,1365352,6,6,2024-02-24,Completed,100.0,-522,2025-07-30,0.5,2048028.0,125,7,8,9,6
ADV-0049,Digital Transformation Project 049,Cloud Migration,Finance,Critical,PM I,2023-12-12,177,708956,3,3,2024-06-06,Completed,100.0,-418,2025-07-29,0.2737113874478077,903005.3303994479,141,4,10,6,6
ADV-0050,AI/ML Implementation Project 050,AI/ML Implementation,HR,Medium,PM J,2023-07-20,318,1470499,7,10,2024-06-02,Completed,100.0,-422,2025-07-29,0.44686542308338767,2127614.1577786985,21,2,9,7,8
ADV-0051,AI/ML Implementation Project 051,Digital Transformation,Finance,Medium,PM K,2023-12-01,438,1497960,3,9,2025-02-11,Delayed,91.0,-208,2025-02-11,0.17481980034020775,1759833.0681176176,98,10,10,7,9
ADV-0052,AI/ML Implementation Project 052,Data Analytics,Finance,High,PM L,2023-11-24,365,581849,8,5,2024-11-23,Completed,100.0,-249,2025-07-30,0.2642877685139728,735624.5738220866,146,7,8,10,8
ADV-0053,AI/ML Implementation Project 053,Software Development,Technology,Low,PM M,2024-04-05,327,517010,10,12,2025-02-26,Completed,100.0,-153,2025-07-29,0.13681710020239218,587745.8089756387,148,8,8,8,7
ADV-0054,Cloud Migration Project 054,Software Development,Marketing,Medium,PM N,2023-10-14,113,436193,4,12,2024-02-04,Completed,100.0,-542,2025-07-30,0.5,654289.5,72,2,1,7,6
ADV-0055,Data Analytics Project 055,AI/ML Implementation,Finance,High,PM O,2023-06-23,295,76734,1,21,2024-04-13,Delayed,77.0,-540,2024-04-13,0.32902016680288815,101981.03347945283,36,5,10,8,7
ADV-0056,Software Development Project 056,Data Analytics,Operations,Low,PM P,2024-06-08,448,973875,4,16,2025-08-30,In Progress,78.08035714285714,-67,2025-08-30,0.15172239667338946,1121633.649060297,141,1,5,9,10
ADV-0057,AI/ML Implementation Project 057,Cloud Migration,Marketing,Low,PM Q,2024-01-22,281,76069,7,4,2024-10-29,Delayed,79.0,-333,2024-10-29,0.3596428107733748,103426.66897271984,17,7,4,6,5
ADV-0058,Digital Transformation Project 058,Data Analytics,HR,Low,PM R,2024-03-01,310,587198,4,3,2025-01-05,Delayed,79.0,-271,2025-01-05,0.16041659477628792,681394.3036194467,141,8,2,10,5
ADV-0059,AI/ML Implementation Project 059,AI/ML Implementation,Technology,Critical,PM S,2023-08-03,372,1434199,6,20,2024-08-09,Completed,100.0,-355,2025-07-30,0.29840811364629294,1862175.6181833998,55,6,8,8,8
ADV-0060,Digital Transformation Project 060,AI/ML Implementation,HR,Medium,PM T,2023-12-11,171,520951,9,9,2024-05-30,Completed,100.0,-426,2025-07-30,0.5,781426.5,120,5,3,7,9
ADV-0061,Digital Transformation Project 061,Data Analytics,Marketing,Medium,PM A,2023-07-11,314,131264,1,10,2024-05-20,Completed,100.0,-436,2025-07-30,0.29216343288036295,169614.54085360796,28,6,4,8,7
ADV-0062,AI/ML Implementation Project 062,AI/ML Implementation,Marketing,Medium,PM B,2024-03-09,362,73275,5,3,2025-03-06,Delayed,96.0,-160,2025-03-06,0.10093987419166546,80671.36928139428,26,2,7,7,9
ADV-0063,Cloud Migration Project 063,Data Analytics,Marketing,Low,PM C,2023-10-29,266,646562,7,5,2024-07-21,Delayed,89.0,-403,2024-07-21,0.4631196082534704,945997.5401515805,101,1,10,8,8
ADV-0064,Digital Transformation Project 064,Digital Transformation,HR,Medium,PM D,2024-04-17,288,412920,1,10,2025-01-30,Completed,100.0,-181,2025-07-30,0.11898639966746803,462051.8641506909,26,7,9,7,5
ADV-0065,Digital Transformation Project 065,Data Analytics,Marketing,Medium,PM E,2024-04-12,400,241076,4,24,2025-05-17,Delayed,97.0,-86,2025-05-17,0.1642208524331722,280665.70622117945,39,7,2,9,9
ADV-0066,AI/ML Implementation Project 066,Data Analytics,HR,Medium,PM F,2023-12-03,125,1292629,6,17,2024-04-06,Completed,100.0,-480,2025-07-30,0.5,1938943.5,59,10,3,7,9
ADV-0067,Digital Transformation Project 067,AI/ML Implementation,Marketing,Medium,PM G,2024-03-22,134,1052163,2,7,2024-08-03,Completed,100.0,-360,2025-07-29,0.5,1578244.5,136,10,4,7,5
ADV-0068,Digital Transformation Project 068,AI/ML Implementation,Operations,Medium,PM H,2023-09-07,162,622735,10,5,2024-02-16,Delayed,91.0,-544,2024-02-16,0.5,934102.5,69,2,10,6,7
ADV-0069,AI/ML Implementation Project 069,Software Development,Marketing,High,PM I,2024-05-26,251,962826,5,21,2025-02-01,Delayed,83.0,-221,2025-02-01,0.13982546476277716,1097453.5929356858,114,2,1,7,5
ADV-0070,AI/ML Implementation Project 070,Software Development,HR,High,PM J,2023-07-06,311,649991,10,3,2024-05-12,Completed,100.0,-444,2025-07-30,0.5,974986.5,133,1,7,6,9
ADV-0071,Software Development Project 071,Digital Transformation,Finance,Medium,PM K,2023-06-24,285,912522,1,17,2024-04-04,Completed,100.0,-481,2025-07-29,0.32448036309164324,1208617.4698891125,67,10,2,10,7
ADV-0072,Cloud Migration Project 072,Software Development,Marketing,High,PM L,2024-05-04,353,853692,6,10,2025-04-22,Completed,100.0,-99,2025-07-30,0.09202821006064273,932255.7467030901,46,8,5,6,7
ADV-0073,Cloud Migration Project 073,Data Analytics,Finance,Medium,PM M,2023-09-25,365,1211157,6,4,2024-09-24,Completed,100.0,-309,2025-07-30,0.1978270289322068,1450756.5908804447,65,8,1,9,5
ADV-0074,Digital Transformation Project 074,AI/ML Implementation,Operations,High,PM N,2024-06-30,157,1364532,4,5,2024-12-04,Completed,100.0,-238,2025-07-30,0.3713782483950401,1871289.504038981,58,1,3,6,9
ADV-0075,Cloud Migration Project 075,Software Development,Technology,Medium,PM O,2023-10-27,397,471240,8,16,2024-11-27,Completed,100.0,-244,2025-07-29,0.14308096276839655,538665.4728949792,96,8,2,10,8
ADV-0076,Digital Transformation Project 076,Software Development,Operations,Medium,PM P,2023-07-11,345,952580,4,16,2024-06-20,Delayed,77.0,-484,2024-06-20,0.31429994234684805,1251975.8390807605,51,9,1,9,9
ADV-0077,Software Development Project 077,Digital Transformation,Marketing,Medium,PM Q,2023-09-28,394,994789,8,13,2024-10-26,Completed,100.0,-277,2025-07-30,0.22454545412870497,1218164.3477672401,110,4,7,8,6
ADV-0078,AI/ML Implementation Project 078,Digital Transformation,Finance,High,PM R,2023-07-22,406,1059940,8,18,2024-08-31,Completed,100.0,-333,2025-07-30,0.3172522220361103,1396208.3202249547,70,1,5,8,10
ADV-0079,AI/ML Implementation Project 079,Data Analytics,Finance,Low,PM S,2023-12-12,367,166421,5,6,2024-12-13,Completed,100.0,-229,2025-07-30,0.10565387330348512,184004.02324903928,119,1,1,6,8
ADV-0080,AI/ML Implementation Project 080,AI/ML Implementation,HR,Medium,PM T,2023-10-21,308,575893,4,22,2024-08-24,Completed,100.0,-340,2025-07-30,0.33682806499144724,769869.9248321195,73,3,6,6,7
ADV-0081,Cloud Migration Project 081,Digital Transformation,Finance,High,PM A,2024-01-19,225,122303,2,7,2024-08-31,Completed,100.0,-333,2025-07-30,0.38605410992447803,169518.57580609343,145,5,5,10,8
ADV-0082,Software Development Project 082,Software Development,HR,Medium,PM B,2024-04-21,394,208211,3,24,2025-05-20,Completed,100.0,-71,2025-07-30,0.12783711080646284,234828.09267812443,49,5,3,10,7
ADV-0083,Cloud Migration Project 083,AI/ML Implementation,Technology,Medium,PM C,2023-12-04,89,1044653,3,23,2024-03-02,Completed,100.0,-515,2025-07-30,0.5,1566979.5,107,9,7,7,7
ADV-0084,Cloud Migration Project 084,AI/ML Implementation,Marketing,High,PM D,2023-08-23,306,237210,4,16,2024-06-24,Completed,100.0,-400,2025-07-29,0.17395322080469214,278473.443507081,111,10,10,10,8
ADV-0085,Software Development Project 085,Software Development,HR,Medium,PM E,2023-12-07,165,912557,4,18,2024-05-20,Delayed,94.0,-445,2024-05-20,0.5,1368835.5,149,2,9,7,7
ADV-0086,Software Development Project 086,Digital Transformation,Technology,High,PM F,2023-11-29,110,194990,10,20,2024-03-18,Completed,100.0,-499,2025-07-30,0.4618749350821357,285050.99359166564,90,2,9,9,7
ADV-0087,Software Development Project 087,Software Development,Finance,High,PM G,2023-09-16,140,1257094,5,9,2024-02-03,Completed,100.0,-543,2025-07-30,0.3559763785245913,1704589.7695849927,63,6,9,6,6
ADV-0088,Software Development Project 088,AI/ML Implementation,Finance,Medium,PM H,2024-05-09,192,174040,4,12,2024-11-17,Completed,100.0,-255,2025-07-30,0.22996741587816097,214063.52905943515,108,9,2,9,9
ADV-0089,AI/ML Implementation Project 089,Cloud Migration,Technology,High,PM I,2023-10-15,344,718406,10,9,2024-09-23,Completed,100.0,-310,2025-07-30,0.33136790655133125,956462.6922739157,38,1,3,10,9
ADV-0090,Data Analytics Project 090,Cloud Migration,Finance,Medium,PM J,2024-05-25,447,468034,8,3,2025-08-15,In Progress,98.0,7,2025-08-15,0.20624936534745322,564565.7154610299,51,9,7,9,10
ADV-0091,Data Analytics Project 091,Data Analytics,Technology,Medium,PM K,2024-05-15,197,806254,6,23,2024-11-28,Completed,100.0,-244,2025-07-30,0.3618361090699283,1097985.810282066,18,9,5,9,10
ADV-0092,Software Development Project 092,Software Development,HR,Medium,PM L,2024-04-27,243,1083255,6,21,2024-12-26,Completed,100.0,-216,2025-07-30,0.23962868561544287,1342833.9718363564,122,9,2,9,6
ADV-0093,Data Analytics Project 093,Software Development,HR,Medium,PM M,2023-07-07,389,840756,8,18,2024-07-30,Completed,100.0,-365,2025-07-30,0.2326647395585915,1036370.2757723231,140,5,3,10,10
ADV-0094,Data Analytics Project 094,Data Analytics,Technology,Medium,PM N,2024-04-07,332,845543,7,21,2025-03-05,Completed,100.0,-146,2025-07-29,0.30835353409874783,1106269.1722824576,34,9,10,9,8
ADV-0095,Software Development Project 095,Data Analytics,HR,Medium,PM O,2024-04-21,399,1005614,10,6,2025-05-25,Completed,100.0,-66,2025-07-30,0.20821669877335033,1214999.6273202638,64,4,6,7,5
ADV-0096,Data Analytics Project 096,Data Analytics,HR,Medium,PM P,2023-08-27,128,590677,10,20,2024-01-02,Delayed,77.0,-604,2024-01-02,0.5,886015.5,110,2,7,10,5
ADV-0097,Cloud Migration Project 097,AI/ML Implementation,HR,High,PM Q,2024-02-29,93,1402147,8,4,2024-06-01,Completed,100.0,-424,2025-07-30,0.5,2103220.5,119,6,9,9,5
ADV-0098,Digital Transformation Project 098,Software Development,Operations,Medium,PM R,2024-06-08,321,1047083,2,3,2025-04-25,Completed,100.0,-96,2025-07-30,0.1098772962864426,1162133.649027497,131,4,1,10,6
ADV-0099,Digital Transformation Project 099,AI/ML Implementation,Marketing,Medium,PM S,2023-10-04,112,1221459,9,17,2024-01-24,Completed,100.0,-553,2025-07-30,0.5,1832188.5,112,6,7,8,6
ADV-0100,Software Development Project 100,Data Analytics,Finance,Critical,PM T,2023-08-23,264,812501,1,7,2024-05-13,Completed,100.0,-443,2025-07-30,0.1958363800202189,971618.2546028079,80,3,8,7,7
ADV-0101,AI/ML Implementation Project 101,Software Development,Operations,Medium,PM A,2024-01-23,185,437952,8,22,2024-07-26,Delayed,92.0,-383,2024-07-26,0.27403389200464384,557965.6910712178,93,6,3,9,5
ADV-0102,Software Development Project 102,AI/ML Implementation,HR,Medium,PM B,2023-12-12,294,162221,4,13,2024-10-01,Completed,100.0,-302,2025-07-30,0.27633320397544814,207048.0486821012,20,2,4,8,8
ADV-0103,AI/ML Implementation Project 103,AI/ML Implementation,Technology,Medium,PM C,2023-10-17,102,1080117,4,12,2024-01-27,Completed,100.0,-550,2025-07-30,0.5,1620175.5,53,2,10,8,10
ADV-0104,Digital Transformation Project 104,Data Analytics,HR,Low,PM D,2024-04-23,299,849666,5,4,2025-02-16,Completed,100.0,-164,2025-07-30,0.14094529839933914,969422.4279097728,129,9,6,10,8
ADV-0105,Software Development Project 105,Software Development,Marketing,Medium,PM E,2024-05-18,430,310669,8,5,2025-07-22,Completed,100.0,-7,2025-07-29,0.23568097633300272,383887.77323639765,139,7,10,8,10
ADV-0106,Cloud Migration Project 106,Data Analytics,HR,High,PM F,2024-03-12,170,809224,5,14,2024-08-29,Completed,100.0,-335,2025-07-30,0.25755084248391497,1017640.3229582036,26,3,7,7,5
ADV-0107,Data Analytics Project 107,Software Development,Technology,Critical,PM G,2023-09-21,308,889873,8,22,2024-07-25,Delayed,92.0,-394,2024-07-25,0.3280728757694714,1181816.1941796066,145,1,4,7,5
ADV-0108,AI/ML Implementation Project 108,Cloud Migration,Marketing,Low,PM H,2024-05-16,210,575134,10,7,2024-12-12,Completed,100.0,-230,2025-07-30,0.5,862701.0,32,8,8,6,5
ADV-0109,Data Analytics Project 109,Digital Transformation,HR,Low,PM I,2023-11-14,242,1439959,1,7,2024-07-13,Completed,100.0,-382,2025-07-30,0.23616469204045143,1780026.4737858763,54,6,5,7,6
ADV-0110,Data Analytics Project 110,Digital Transformation,Marketing,High,PM J,2024-06-28,395,294761,10,8,2025-07-28,Delayed,91.0,-37,2025-07-28,0.24370219968354034,366594.90408092,35,7,1,8,10
ADV-0111,Software Development Project 111,Digital Transformation,Finance,Medium,PM K,2024-07-02,154,882946,9,11,2024-12-03,Completed,100.0,-238,2025-07-29,0.3696456929792235,1209323.1860332335,113,9,4,7,6
ADV-0112,Data Analytics Project 112,Data Analytics,Finance,Critical,PM L,2023-06-29,433,924668,6,4,2024-09-04,Completed,100.0,-329,2025-07-30,0.18114490103913106,1092166.8933540513,40,5,3,10,6
ADV-0113,Cloud Migration Project 113,Cloud Migration,HR,High,PM M,2023-09-26,67,187541,3,23,2023-12-02,Completed,100.0,-606,2025-07-30,0.5,281311.5,22,1,9,6,9
ADV-0114,Data Analytics Project 114,Software Development,Marketing,High,PM N,2023-06-17,447,997609,8,14,2024-09-06,Delayed,77.0,-429,2024-09-06,0.27640092044300874,1273349.0458422294,114,10,8,8,8
ADV-0115,Software Development Project 115,AI/ML Implementation,Technology,High,PM O,2023-11-09,419,114323,9,5,2025-01-01,Completed,100.0,-210,2025-07-30,0.3557448373684321,154992.81704247126,101,7,1,6,8
ADV-0116,Cloud Migration Project 116,Software Development,HR,Low,PM P,2023-12-23,447,666210,6,22,2025-03-14,Completed,100.0,-137,2025-07-29,0.12115286848111786,746923.2525108055,56,5,6,8,7
ADV-0117,Digital Transformation Project 117,AI/ML Implementation,Finance,Medium,PM Q,2023-10-16,243,1287715,7,24,2024-06-15,Completed,100.0,-410,2025-07-30,0.2803117750143044,1648676.6773625452,28,3,9,10,6
ADV-0118,Data Analytics Project 118,Software Development,Finance,High,PM R,2023-07-04,340,1279024,1,14,2024-06-08,Completed,100.0,-417,2025-07-30,0.10833573131776725,1417588.000412976,92,9,7,6,10
ADV-0119,Software Development Project 119,Cloud Migration,HR,Medium,PM S,2023-09-17,254,1004480,5,19,2024-05-28,Completed,100.0,-428,2025-07-30,0.40625727383338306,1412557.3064201567,16,1,4,9,9
ADV-0120,Digital Transformation Project 120,AI/ML Implementation,Marketing,Low,PM T,2024-03-17,411,285659,5,12,2025-05-02,Completed,100.0,-89,2025-07-30,0.1150638915225275,318528.0361884337,133,1,1,8,9
ADV-0121,Digital Transformation Project 121,Data Analytics,Finance,Low,PM A,2024-06-02,254,439678,10,16,2025-02-11,Completed,100.0,-168,2025-07-29,0.4082331771173718,619169.1468486118,51,1,2,9,8
ADV-0122,AI/ML Implementation Project 122,Software Development,Marketing,Critical,PM B,2023-11-09,214,904016,4,19,2024-06-10,Completed,100.0,-415,2025-07-30,0.36095173034630323,1230322.1394607436,83,3,5,6,6
ADV-0123,Cloud Migration Project 123,Software Development,Finance,High,PM C,2023-09-17,152,1203113,6,20,2024-02-16,Completed,100.0,-529,2025-07-29,0.5,1804669.5,55,6,5,9,7
ADV-0124,Data Analytics Project 124,AI/ML Implementation,Finance,High,PM D,2024-05-01,219,914909,7,21,2024-12-06,Completed,100.0,-236,2025-07-30,0.20678454596962637,1104098.0421685248,76,10,8,9,6
ADV-0125,Software Development Project 125,Data Analytics,Operations,High,PM E,2024-02-11,120,291983,9,19,2024-06-10,Completed,100.0,-414,2025-07-29,0.5,437974.5,74,3,6,6,5
ADV-0126,AI/ML Implementation Project 126,Data Analytics,Finance,High,PM F,2023-12-20,181,838260,1,16,2024-06-18,Completed,100.0,-407,2025-07-30,0.4561188865748174,1220606.2178602065,139,8,8,10,6
ADV-0127,Cloud Migration Project 127,Cloud Migration,Technology,Medium,PM G,2024-04-25,110,1100493,6,11,2024-08-13,Completed,100.0,-350,2025-07-29,0.5,1650739.5,125,10,2,9,5
ADV-0128,AI/ML Implementation Project 128,Data Analytics,HR,High,PM H,2024-01-21,336,332762,7,10,2024-12-22,Completed,100.0,-219,2025-07-29,0.3197462264710064,439161.39381294505,28,2,3,9,5
ADV-0129,Cloud Migration Project 129,Data Analytics,HR,High,PM I,2023-08-13,64,836275,3,4,2023-10-16,Completed,100.0,-653,2025-07-30,0.5,1254412.5,98,9,6,10,7
ADV-0130,Cloud Migration Project 130,Data Analytics,Marketing,High,PM J,2023-10-14,151,1466012,8,15,2024-03-13,Completed,100.0,-504,2025-07-30,0.5,2199018.0,144,3,10,9,10
ADV-0131,Data Analytics Project 131,Digital Transformation,Finance,High,PM K,2023-08-11,229,621650,5,9,2024-03-27,Delayed,77.0,-542,2024-03-27,0.2872302019847371,800206.6550638118,84,5,3,9,8
