project_id,quality_dimension,score,measurement_date,target_score
ADV-0016,Performance,9,2025-06-30 07:38:36.342391,8
ADV-0016,Security,7,2025-06-30 07:38:36.342391,8
ADV-0016,Maintainability,7,2025-07-22 07:38:36.342391,8
ADV-0017,Code Quality,7,2025-07-29 07:38:36.342391,9
ADV-0017,User Experience,8,2025-07-08 07:38:36.342391,8
ADV-0017,Performance,8,2025-07-19 07:38:36.342391,8
ADV-0017,Security,6,2025-07-24 07:38:36.342391,9
ADV-0017,Maintainability,8,2025-07-16 07:38:36.342391,8
ADV-0018,Code Quality,7,2025-07-16 07:38:36.342391,8
ADV-0018,User Experience,8,2025-06-30 07:38:36.342391,8
ADV-0018,Performance,7,2025-07-23 07:38:36.342391,8
ADV-0018,Security,7,2025-07-03 07:38:36.342391,9
ADV-0018,Maintainability,8,2025-07-19 07:38:36.342391,9
ADV-0019,Code Quality,6,2025-07-27 07:38:36.342391,8
ADV-0019,User Experience,6,2025-07-09 07:38:36.342391,8
ADV-0019,Performance,6,2025-07-19 07:38:36.342391,9
ADV-0019,Security,7,2025-07-13 07:38:36.342391,9
ADV-0019,Maintainability,9,2025-07-02 07:38:36.342391,8
ADV-0020,Code Quality,8,2025-07-10 07:38:36.342391,9
ADV-0020,User Experience,6,2025-07-19 07:38:36.342391,9
ADV-0020,Performance,9,2025-07-29 07:38:36.342391,9
ADV-0020,Security,7,2025-07-18 07:38:36.342391,8
ADV-0020,Maintainability,6,2025-07-22 07:38:36.342391,9
ADV-0021,Code Quality,6,2025-07-24 07:38:36.342391,9
ADV-0021,User Experience,8,2025-06-30 07:38:36.342391,9
ADV-0021,Performance,5,2025-07-27 07:38:36.342391,9
ADV-0021,Security,6,2025-06-30 07:38:36.342391,8
ADV-0021,Maintainability,5,2025-07-03 07:38:36.342391,8
ADV-0022,Code Quality,6,2025-07-04 07:38:36.342391,8
ADV-0022,User Experience,6,2025-07-16 07:38:36.342391,8
ADV-0022,Performance,8,2025-07-28 07:38:36.342391,8
ADV-0022,Security,9,2025-07-09 07:38:36.342391,8
ADV-0022,Maintainability,9,2025-07-24 07:38:36.342391,9
ADV-0023,Code Quality,8,2025-07-10 07:38:36.342391,9
ADV-0023,User Experience,6,2025-07-10 07:38:36.342391,9
ADV-0023,Performance,8,2025-07-11 07:38:36.342391,9
ADV-0023,Security,5,2025-07-30 07:38:36.342391,9
ADV-0023,Maintainability,6,2025-07-29 07:38:36.342391,9
ADV-0024,Code Quality,8,2025-07-05 07:38:36.342391,8
ADV-0024,User Experience,8,2025-07-20 07:38:36.342391,8
ADV-0024,Performance,5,2025-07-23 07:38:36.342391,9
ADV-0024,Security,8,2025-07-26 07:38:36.342391,8
ADV-0024,Maintainability,8,2025-07-05 07:38:36.342391,9
ADV-0025,Code Quality,7,2025-07-12 07:38:36.342391,8
ADV-0025,User Experience,6,2025-07-24 07:38:36.342391,9
ADV-0025,Performance,8,2025-07-28 07:38:36.342391,8
ADV-0025,Security,8,2025-07-04 07:38:36.342391,8
ADV-0025,Maintainability,7,2025-07-06 07:38:36.342391,9
ADV-0026,Code Quality,8,2025-07-13 07:38:36.342391,9
ADV-0026,User Experience,9,2025-07-24 07:38:36.342391,8
ADV-0026,Performance,9,2025-07-12 07:38:36.342391,8
ADV-0026,Security,8,2025-07-24 07:38:36.342391,9
ADV-0026,Maintainability,7,2025-07-04 07:38:36.342391,9
ADV-0027,Code Quality,7,2025-07-03 07:38:36.342391,8
ADV-0027,User Experience,8,2025-07-23 07:38:36.342391,8
ADV-0027,Performance,7,2025-07-20 07:38:36.342391,8
ADV-0027,Security,6,2025-07-06 07:38:36.342391,9
ADV-0027,Maintainability,9,2025-07-26 07:38:36.342391,9
ADV-0028,Code Quality,8,2025-07-05 07:38:36.342391,9
ADV-0028,User Experience,8,2025-07-02 07:38:36.342391,8
ADV-0028,Performance,6,2025-07-11 07:38:36.342391,8
ADV-0028,Security,6,2025-07-30 07:38:36.342391,9
ADV-0028,Maintainability,6,2025-07-22 07:38:36.342391,9
ADV-0029,Code Quality,6,2025-07-03 07:38:36.342391,8
ADV-0029,User Experience,9,2025-07-26 07:38:36.342391,8
ADV-0029,Performance,8,2025-07-26 07:38:36.342391,9
ADV-0029,Security,7,2025-07-13 07:38:36.342391,8
ADV-0029,Maintainability,8,2025-07-22 07:38:36.342391,8
ADV-0030,Code Quality,9,2025-07-05 07:38:36.342391,8
ADV-0030,User Experience,7,2025-07-25 07:38:36.342391,9
ADV-0030,Performance,6,2025-07-27 07:38:36.342391,9
ADV-0030,Security,8,2025-07-09 07:38:36.342391,8
ADV-0030,Maintainability,7,2025-07-03 07:38:36.342391,9
ADV-0031,Code Quality,7,2025-07-30 07:38:36.342391,9
ADV-0031,User Experience,9,2025-07-26 07:38:36.342391,9
ADV-0031,Performance,6,2025-07-30 07:38:36.342391,8
ADV-0031,Security,6,2025-07-19 07:38:36.342391,9
ADV-0031,Maintainability,9,2025-07-05 07:38:36.342391,9
ADV-0032,Code Quality,8,2025-07-05 07:38:36.342391,8
ADV-0032,User Experience,9,2025-07-23 07:38:36.342391,9
ADV-0032,Performance,7,2025-07-12 07:38:36.342391,9
ADV-0032,Security,6,2025-07-20 07:38:36.342391,8
ADV-0032,Maintainability,8,2025-07-30 07:38:36.342391,9
ADV-0033,Code Quality,6,2025-07-25 07:38:36.342391,9
ADV-0033,User Experience,9,2025-07-22 07:38:36.342391,9
ADV-0033,Performance,8,2025-07-29 07:38:36.342391,8
ADV-0033,Security,9,2025-07-26 07:38:36.342391,8
ADV-0033,Maintainability,9,2025-07-07 07:38:36.342391,9
ADV-0034,Code Quality,7,2025-07-17 07:38:36.342391,8
ADV-0034,User Experience,8,2025-07-14 07:38:36.342391,9
ADV-0034,Performance,8,2025-07-27 07:38:36.342391,8
ADV-0034,Security,8,2025-07-07 07:38:36.342391,8
ADV-0034,Maintainability,7,2025-07-28 07:38:36.342391,8
ADV-0035,Code Quality,7,2025-07-15 07:38:36.342391,9
ADV-0035,User Experience,6,2025-07-16 07:38:36.342391,9
ADV-0035,Performance,7,2025-07-06 07:38:36.342391,8
ADV-0035,Security,7,2025-07-19 07:38:36.342391,9
ADV-0035,Maintainability,8,2025-07-14 07:38:36.342391,8
ADV-0036,Code Quality,7,2025-07-12 07:38:36.342391,8
ADV-0036,User Experience,7,2025-07-27 07:38:36.342391,9
ADV-0036,Performance,8,2025-07-16 07:38:36.342391,8
ADV-0036,Security,7,2025-07-14 07:38:36.342391,9
ADV-0036,Maintainability,7,2025-07-23 07:38:36.342391,8
ADV-0037,Code Quality,7,2025-06-30 07:38:36.342391,9
ADV-0037,User Experience,9,2025-07-11 07:38:36.342391,8
ADV-0037,Performance,7,2025-07-29 07:38:36.342391,8
ADV-0037,Security,7,2025-07-07 07:38:36.342391,8
ADV-0037,Maintainability,8,2025-07-05 07:38:36.342391,8
ADV-0038,Code Quality,9,2025-07-01 07:38:36.342391,9
ADV-0038,User Experience,9,2025-07-03 07:38:36.342391,8
ADV-0038,Performance,9,2025-07-09 07:38:36.342391,9
ADV-0038,Security,8,2025-07-14 07:38:36.342391,8
ADV-0038,Maintainability,7,2025-07-21 07:38:36.342391,9
ADV-0039,Code Quality,7,2025-07-16 07:38:36.342391,8
ADV-0039,User Experience,7,2025-07-10 07:38:36.342391,8
ADV-0039,Performance,6,2025-06-30 07:38:36.342391,9
ADV-0039,Security,7,2025-07-30 07:38:36.342391,8
ADV-0039,Maintainability,8,2025-07-29 07:38:36.342391,9
ADV-0040,Code Quality,9,2025-07-15 07:38:36.342391,9
ADV-0040,User Experience,8,2025-07-03 07:38:36.342391,8
ADV-0040,Performance,7,2025-07-18 07:38:36.342391,8
ADV-0040,Security,6,2025-07-17 07:38:36.342391,9
ADV-0040,Maintainability,8,2025-07-09 07:38:36.342391,9
ADV-0041,Code Quality,9,2025-07-27 07:38:36.342391,8
ADV-0041,User Experience,8,2025-07-15 07:38:36.342391,9
ADV-0041,Performance,8,2025-07-08 07:38:36.342391,9
ADV-0041,Security,6,2025-07-01 07:38:36.342391,8
ADV-0041,Maintainability,8,2025-07-16 07:38:36.342391,9
ADV-0042,Code Quality,8,2025-07-28 07:38:36.342391,9
ADV-0042,User Experience,9,2025-07-02 07:38:36.342391,9
ADV-0042,Performance,8,2025-07-28 07:38:36.342391,9
ADV-0042,Security,9,2025-07-20 07:38:36.342391,8
ADV-0042,Maintainability,7,2025-07-11 07:38:36.342391,9
ADV-0043,Code Quality,8,2025-07-26 07:38:36.342391,9
ADV-0043,User Experience,6,2025-07-28 07:38:36.342391,9
ADV-0043,Performance,9,2025-07-26 07:38:36.342391,8
ADV-0043,Security,9,2025-07-22 07:38:36.342391,9
ADV-0043,Maintainability,7,2025-07-11 07:38:36.342391,8
ADV-0044,Code Quality,8,2025-07-10 07:38:36.342391,8
ADV-0044,User Experience,6,2025-07-12 07:38:36.342391,8
ADV-0044,Performance,7,2025-07-13 07:38:36.342391,8
ADV-0044,Security,6,2025-07-08 07:38:36.342391,8
ADV-0044,Maintainability,9,2025-07-20 07:38:36.342391,9
ADV-0045,Code Quality,6,2025-07-18 07:38:36.342391,9
ADV-0045,User Experience,9,2025-07-11 07:38:36.342391,9
ADV-0045,Performance,7,2025-07-14 07:38:36.342391,8
ADV-0045,Security,6,2025-07-21 07:38:36.342391,9
ADV-0045,Maintainability,7,2025-07-16 07:38:36.342391,9
ADV-0046,Code Quality,7,2025-07-14 07:38:36.342391,8
ADV-0046,User Experience,9,2025-07-11 07:38:36.342391,8
ADV-0046,Performance,7,2025-07-17 07:38:36.342391,8
ADV-0046,Security,7,2025-07-27 07:38:36.342391,8
ADV-0046,Maintainability,6,2025-07-05 07:38:36.342391,8
ADV-0047,Code Quality,9,2025-07-08 07:38:36.342391,8
ADV-0047,User Experience,7,2025-07-27 07:38:36.342391,8
ADV-0047,Performance,8,2025-07-03 07:38:36.342391,9
ADV-0047,Security,8,2025-07-10 07:38:36.342391,9
ADV-0047,Maintainability,7,2025-07-10 07:38:36.342391,9
ADV-0048,Code Quality,7,2025-07-02 07:38:36.342391,8
ADV-0048,User Experience,8,2025-07-06 07:38:36.342391,9
ADV-0048,Performance,8,2025-07-13 07:38:36.342391,8
ADV-0048,Security,9,2025-07-07 07:38:36.342391,8
ADV-0048,Maintainability,7,2025-07-03 07:38:36.342391,8
ADV-0049,Code Quality,6,2025-07-24 07:38:36.342391,9
ADV-0049,User Experience,8,2025-07-17 07:38:36.342391,8
ADV-0049,Performance,9,2025-07-16 07:38:36.342391,8
ADV-0049,Security,7,2025-07-02 07:38:36.342391,8
ADV-0049,Maintainability,9,2025-07-23 07:38:36.342391,9
ADV-0050,Code Quality,9,2025-07-17 07:38:36.342391,9
ADV-0050,User Experience,9,2025-07-20 07:38:36.342391,8
ADV-0050,Performance,6,2025-07-04 07:38:36.342391,9
ADV-0050,Security,8,2025-07-16 07:38:36.342391,9
ADV-0050,Maintainability,8,2025-07-18 07:38:36.342391,8
ADV-0051,Code Quality,7,2025-07-17 07:38:36.342391,9
ADV-0051,User Experience,8,2025-07-07 07:38:36.342391,8
ADV-0051,Performance,9,2025-07-27 07:38:36.342391,8
ADV-0051,Security,6,2025-07-20 07:38:36.342391,9
ADV-0051,Maintainability,8,2025-07-17 07:38:36.342391,9
ADV-0052,Code Quality,7,2025-07-20 07:38:36.342391,9
ADV-0052,User Experience,8,2025-07-09 07:38:36.342391,8
ADV-0052,Performance,9,2025-07-22 07:38:36.342391,9
ADV-0052,Security,8,2025-07-19 07:38:36.342391,8
ADV-0052,Maintainability,6,2025-06-30 07:38:36.342391,9
ADV-0053,Code Quality,6,2025-07-26 07:38:36.342391,8
ADV-0053,User Experience,5,2025-07-09 07:38:36.342391,8
ADV-0053,Performance,6,2025-07-01 07:38:36.342391,9
ADV-0053,Security,7,2025-07-15 07:38:36.342391,8
ADV-0053,Maintainability,8,2025-07-28 07:38:36.342391,9
ADV-0054,Code Quality,8,2025-07-28 07:38:36.342391,8
ADV-0054,User Experience,6,2025-07-04 07:38:36.342391,9
ADV-0054,Performance,8,2025-07-28 07:38:36.342391,9
ADV-0054,Security,7,2025-07-28 07:38:36.342391,8
ADV-0054,Maintainability,6,2025-07-17 07:38:36.342391,9
ADV-0055,Code Quality,8,2025-07-27 07:38:36.342391,9
ADV-0055,User Experience,8,2025-07-07 07:38:36.342391,8
ADV-0055,Performance,8,2025-07-07 07:38:36.342391,8
ADV-0055,Security,9,2025-07-19 07:38:36.342391,9
ADV-0055,Maintainability,9,2025-07-05 07:38:36.342391,8
ADV-0056,Code Quality,9,2025-07-26 07:38:36.342391,9
ADV-0056,User Experience,9,2025-07-13 07:38:36.342391,8
ADV-0056,Performance,9,2025-07-29 07:38:36.342391,8
ADV-0056,Security,8,2025-07-12 07:38:36.342391,9
ADV-0056,Maintainability,6,2025-06-30 07:38:36.342391,9
ADV-0057,Code Quality,7,2025-07-13 07:38:36.342391,9
ADV-0057,User Experience,9,2025-07-13 07:38:36.342391,9
ADV-0057,Performance,8,2025-07-20 07:38:36.342391,9
ADV-0057,Security,8,2025-07-09 07:38:36.342391,9
ADV-0057,Maintainability,9,2025-07-27 07:38:36.342391,9
ADV-0058,Code Quality,8,2025-07-17 07:38:36.342391,8
ADV-0058,User Experience,6,2025-07-19 07:38:36.342391,8
ADV-0058,Performance,9,2025-07-03 07:38:36.342391,9
ADV-0058,Security,6,2025-07-09 07:38:36.342391,8
ADV-0058,Maintainability,8,2025-06-30 07:38:36.342391,9
ADV-0059,Code Quality,8,2025-07-06 07:38:36.342391,8
ADV-0059,User Experience,9,2025-07-17 07:38:36.342391,8
ADV-0059,Performance,9,2025-07-03 07:38:36.342391,9
ADV-0059,Security,9,2025-07-01 07:38:36.342391,9
ADV-0059,Maintainability,7,2025-07-07 07:38:36.342391,8
ADV-0060,Code Quality,7,2025-07-29 07:38:36.342391,9
ADV-0060,User Experience,8,2025-06-30 07:38:36.342391,8
ADV-0060,Performance,7,2025-07-21 07:38:36.342391,9
ADV-0060,Security,7,2025-07-11 07:38:36.342391,8
ADV-0060,Maintainability,6,2025-07-21 07:38:36.342391,8
ADV-0061,Code Quality,6,2025-07-19 07:38:36.342391,8
ADV-0061,User Experience,6,2025-07-27 07:38:36.342391,9
ADV-0061,Performance,6,2025-07-12 07:38:36.342391,9
ADV-0061,Security,6,2025-07-14 07:38:36.342391,9
ADV-0061,Maintainability,7,2025-07-24 07:38:36.342391,8
ADV-0062,Code Quality,7,2025-07-26 07:38:36.342391,9
ADV-0062,User Experience,9,2025-07-09 07:38:36.342391,9
ADV-0062,Performance,7,2025-07-15 07:38:36.342391,8
ADV-0062,Security,9,2025-07-23 07:38:36.342391,9
ADV-0062,Maintainability,8,2025-07-03 07:38:36.342391,8
ADV-0063,Code Quality,9,2025-07-27 07:38:36.342391,8
ADV-0063,User Experience,8,2025-07-19 07:38:36.342391,8
ADV-0063,Performance,8,2025-07-03 07:38:36.342391,8
ADV-0063,Security,6,2025-07-13 07:38:36.342391,9
ADV-0063,Maintainability,9,2025-07-19 07:38:36.342391,8
ADV-0064,Code Quality,6,2025-07-27 07:38:36.342391,9
ADV-0064,User Experience,8,2025-07-06 07:38:36.342391,9
ADV-0064,Performance,6,2025-07-22 07:38:36.342391,9
ADV-0064,Security,9,2025-07-12 07:38:36.342391,8
ADV-0064,Maintainability,8,2025-07-23 07:38:36.342391,8
ADV-0065,Code Quality,8,2025-07-05 07:38:36.342391,9
ADV-0065,User Experience,6,2025-07-17 07:38:36.342391,9
ADV-0065,Performance,8,2025-07-03 07:38:36.342391,9
ADV-0065,Security,8,2025-07-13 07:38:36.342391,8
ADV-0065,Maintainability,7,2025-07-06 07:38:36.342391,8
ADV-0066,Code Quality,8,2025-07-04 07:38:36.342391,8
ADV-0066,User Experience,8,2025-07-11 07:38:36.342391,8
ADV-0066,Performance,9,2025-07-11 07:38:36.342391,8
ADV-0066,Security,7,2025-07-09 07:38:36.342391,8
ADV-0066,Maintainability,6,2025-07-10 07:38:36.342391,9
ADV-0067,Code Quality,7,2025-07-13 07:38:36.342391,9
ADV-0067,User Experience,9,2025-07-30 07:38:36.342391,9
ADV-0067,Performance,6,2025-07-11 07:38:36.342391,9
ADV-0067,Security,9,2025-07-01 07:38:36.342391,8
ADV-0067,Maintainability,6,2025-07-09 07:38:36.342391,9
ADV-0068,Code Quality,6,2025-07-04 07:38:36.342391,9
ADV-0068,User Experience,5,2025-07-08 07:38:36.342391,9
ADV-0068,Performance,5,2025-07-22 07:38:36.342391,8
ADV-0068,Security,7,2025-07-30 07:38:36.342391,8
ADV-0068,Maintainability,6,2025-07-25 07:38:36.342391,8
ADV-0069,Code Quality,6,2025-07-22 07:38:36.342391,9
ADV-0069,User Experience,6,2025-07-08 07:38:36.342391,9
ADV-0069,Performance,8,2025-07-06 07:38:36.342391,9
ADV-0069,Security,6,2025-07-21 07:38:36.342391,8
ADV-0069,Maintainability,9,2025-07-01 07:38:36.342391,8
ADV-0070,Code Quality,7,2025-07-20 07:38:36.342391,9
ADV-0070,User Experience,5,2025-07-19 07:38:36.342391,8
ADV-0070,Performance,6,2025-07-30 07:38:36.342391,9
ADV-0070,Security,8,2025-07-25 07:38:36.342391,9
ADV-0070,Maintainability,8,2025-07-03 07:38:36.342391,8
ADV-0071,Code Quality,9,2025-07-26 07:38:36.342391,8
ADV-0071,User Experience,9,2025-07-12 07:38:36.342391,8
ADV-0071,Performance,6,2025-07-09 07:38:36.342391,9
ADV-0071,Security,8,2025-07-18 07:38:36.342391,8
ADV-0071,Maintainability,9,2025-07-28 07:38:36.342391,9
ADV-0072,Code Quality,9,2025-07-26 07:38:36.342391,9
ADV-0072,User Experience,6,2025-07-07 07:38:36.342391,8
ADV-0072,Performance,8,2025-07-10 07:38:36.342391,8
ADV-0072,Security,6,2025-07-30 07:38:36.342391,8
ADV-0072,Maintainability,9,2025-07-28 07:38:36.342391,8
ADV-0073,Code Quality,8,2025-07-07 07:38:36.342391,8
ADV-0073,User Experience,7,2025-07-14 07:38:36.342391,9
ADV-0073,Performance,7,2025-07-24 07:38:36.342391,9
ADV-0073,Security,6,2025-07-18 07:38:36.342391,8
ADV-0073,Maintainability,8,2025-07-17 07:38:36.342391,9
ADV-0074,Code Quality,6,2025-07-16 07:38:36.342391,8
ADV-0074,User Experience,6,2025-07-20 07:38:36.342391,9
ADV-0074,Performance,7,2025-07-25 07:38:36.342391,9
ADV-0074,Security,6,2025-07-19 07:38:36.342391,8
ADV-0074,Maintainability,6,2025-07-21 07:38:36.342391,8
ADV-0075,Code Quality,7,2025-07-07 07:38:36.342391,8
ADV-0075,User Experience,9,2025-07-20 07:38:36.342391,8
ADV-0075,Performance,7,2025-07-06 07:38:36.342391,8
ADV-0075,Security,6,2025-06-30 07:38:36.342391,9
ADV-0075,Maintainability,9,2025-07-12 07:38:36.342391,8
ADV-0076,Code Quality,6,2025-07-11 07:38:36.342391,8
ADV-0076,User Experience,7,2025-07-28 07:38:36.342391,8
ADV-0076,Performance,9,2025-07-02 07:38:36.342391,8
ADV-0076,Security,6,2025-07-29 07:38:36.342391,8
ADV-0076,Maintainability,8,2025-07-26 07:38:36.342391,9
ADV-0077,Code Quality,7,2025-07-25 07:38:36.342391,8
ADV-0077,User Experience,6,2025-07-06 07:38:36.342391,8
ADV-0077,Performance,7,2025-07-11 07:38:36.342391,8
ADV-0077,Security,7,2025-07-29 07:38:36.342391,9
ADV-0077,Maintainability,9,2025-07-09 07:38:36.342391,9
ADV-0078,Code Quality,6,2025-07-28 07:38:36.342391,8
ADV-0078,User Experience,9,2025-07-22 07:38:36.342391,8
ADV-0078,Performance,8,2025-07-16 07:38:36.342391,8
ADV-0078,Security,9,2025-07-09 07:38:36.342391,8
ADV-0078,Maintainability,8,2025-07-17 07:38:36.342391,8
ADV-0079,Code Quality,6,2025-07-15 07:38:36.342391,8
ADV-0079,User Experience,6,2025-07-11 07:38:36.342391,8
ADV-0079,Performance,6,2025-07-16 07:38:36.342391,8
ADV-0079,Security,6,2025-07-17 07:38:36.342391,9
ADV-0079,Maintainability,8,2025-07-22 07:38:36.342391,9
ADV-0080,Code Quality,6,2025-07-24 07:38:36.342391,9
ADV-0080,User Experience,9,2025-07-06 07:38:36.342391,8
ADV-0080,Performance,9,2025-07-14 07:38:36.342391,9
ADV-0080,Security,9,2025-07-27 07:38:36.342391,8
ADV-0080,Maintainability,9,2025-07-19 07:38:36.342391,9
ADV-0081,Code Quality,6,2025-07-17 07:38:36.342391,9
ADV-0081,User Experience,7,2025-07-27 07:38:36.342391,9
ADV-0081,Performance,8,2025-07-21 07:38:36.342391,9
ADV-0081,Security,8,2025-07-09 07:38:36.342391,9
ADV-0081,Maintainability,7,2025-07-09 07:38:36.342391,9
ADV-0082,Code Quality,9,2025-07-12 07:38:36.342391,8
ADV-0082,User Experience,7,2025-07-15 07:38:36.342391,8
ADV-0082,Performance,9,2025-07-14 07:38:36.342391,8
ADV-0082,Security,9,2025-07-09 07:38:36.342391,9
ADV-0082,Maintainability,8,2025-07-21 07:38:36.342391,8
ADV-0083,Code Quality,6,2025-07-29 07:38:36.342391,8
ADV-0083,User Experience,7,2025-07-23 07:38:36.342391,8
ADV-0083,Performance,6,2025-07-18 07:38:36.342391,8
ADV-0083,Security,7,2025-07-11 07:38:36.342391,9
ADV-0083,Maintainability,9,2025-07-29 07:38:36.342391,9
ADV-0084,Code Quality,8,2025-07-30 07:38:36.342391,9
ADV-0084,User Experience,8,2025-07-24 07:38:36.342391,9
ADV-0084,Performance,8,2025-07-21 07:38:36.342391,8
ADV-0084,Security,6,2025-06-30 07:38:36.342391,8
ADV-0084,Maintainability,6,2025-07-24 07:38:36.342391,9
ADV-0085,Code Quality,8,2025-07-06 07:38:36.342391,8
ADV-0085,User Experience,6,2025-07-26 07:38:36.342391,8
ADV-0085,Performance,9,2025-07-06 07:38:36.342391,9
ADV-0085,Security,8,2025-07-22 07:38:36.342391,8
ADV-0085,Maintainability,8,2025-07-21 07:38:36.342391,8
ADV-0086,Code Quality,6,2025-07-20 07:38:36.342391,9
ADV-0086,User Experience,5,2025-07-27 07:38:36.342391,8
ADV-0086,Performance,7,2025-07-30 07:38:36.342391,8
ADV-0086,Security,5,2025-07-15 07:38:36.342391,9
ADV-0086,Maintainability,8,2025-07-07 07:38:36.342391,8
ADV-0087,Code Quality,7,2025-07-17 07:38:36.342391,9
ADV-0087,User Experience,9,2025-07-25 07:38:36.342391,8
ADV-0087,Performance,7,2025-07-26 07:38:36.342391,9
ADV-0087,Security,8,2025-07-18 07:38:36.342391,9
ADV-0087,Maintainability,6,2025-07-13 07:38:36.342391,9
ADV-0088,Code Quality,8,2025-07-08 07:38:36.342391,8
ADV-0088,User Experience,7,2025-07-23 07:38:36.342391,9
ADV-0088,Performance,6,2025-07-14 07:38:36.342391,8
