project_id,milestone_name,milestone_type,planned_date,actual_date,status,importance_score
ADV-0009,Design Approved - Data Analytics Project 009,Design Approved,2025-03-13,2025-03-13,Completed,5
ADV-0009,Development Complete - Data Analytics Project 009,Development Complete,2025-07-29,2025-07-27,Completed,3
ADV-0010,Initiation - Cloud Migration Project 010,Initiation,2023-07-23,2023-08-02,Completed,5
ADV-0010,Planning Complete - Cloud Migration Project 010,Planning Complete,2024-03-25,2024-03-23,Completed,1
ADV-0010,Design Approved - Cloud Migration Project 010,Design Approved,2024-11-26,2024-11-21,Completed,2
ADV-0010,Development Complete - Cloud Migration Project 010,Development Complete,2025-07-30,2025-08-13,Completed,1
ADV-0011,Initiation - AI/ML Implementation Project 011,Initiation,2024-05-12,2024-05-21,Completed,3
ADV-0011,Planning Complete - AI/ML Implementation Project 011,Planning Complete,2024-08-08,2024-08-15,Completed,1
ADV-0011,Design Approved - AI/ML Implementation Project 011,Design Approved,2024-11-05,2024-11-16,Completed,4
ADV-0011,Development Complete - AI/ML Implementation Project 011,Development Complete,2025-02-02,2025-02-16,Completed,3
ADV-0011,Testing Complete - AI/ML Implementation Project 011,Testing Complete,2025-05-02,2025-05-11,Completed,4
ADV-0011,Deployment - AI/ML Implementation Project 011,Deployment,2025-07-30,2025-08-04,Completed,1
ADV-0012,Initiation - Data Analytics Project 012,Initiation,2024-06-14,2024-06-24,Completed,5
ADV-0012,Planning Complete - Data Analytics Project 012,Planning Complete,2024-09-04,2024-09-18,Completed,5
ADV-0012,Design Approved - Data Analytics Project 012,Design Approved,2024-11-25,2024-11-29,Completed,2
ADV-0012,Development Complete - Data Analytics Project 012,Development Complete,2025-02-15,2025-02-12,Completed,5
ADV-0012,Testing Complete - Data Analytics Project 012,Testing Complete,2025-05-08,2025-05-13,Completed,1
ADV-0012,Deployment - Data Analytics Project 012,Deployment,2025-07-29,2025-08-05,Completed,1
ADV-0013,Initiation - Cloud Migration Project 013,Initiation,2024-03-06,2024-03-13,Completed,3
ADV-0013,Planning Complete - Cloud Migration Project 013,Planning Complete,2024-05-23,2024-06-05,Completed,2
ADV-0013,Design Approved - Cloud Migration Project 013,Design Approved,2024-08-10,2024-08-07,Completed,2
ADV-0013,Development Complete - Cloud Migration Project 013,Development Complete,2024-10-28,2024-11-10,Completed,5
ADV-0014,Initiation - Digital Transformation Project 014,Initiation,2023-07-15,2023-07-14,Completed,4
ADV-0014,Planning Complete - Digital Transformation Project 014,Planning Complete,2023-12-11,2023-12-22,Completed,5
ADV-0014,Design Approved - Digital Transformation Project 014,Design Approved,2024-05-08,2024-05-12,Completed,5
ADV-0014,Development Complete - Digital Transformation Project 014,Development Complete,2024-10-04,2024-10-02,Completed,2
ADV-0014,Testing Complete - Digital Transformation Project 014,Testing Complete,2025-03-02,2025-02-28,Completed,2
ADV-0014,Deployment - Digital Transformation Project 014,Deployment,2025-07-30,2025-07-27,Completed,1
ADV-0015,Initiation - AI/ML Implementation Project 015,Initiation,2024-03-29,2024-03-27,Completed,1
ADV-0015,Planning Complete - AI/ML Implementation Project 015,Planning Complete,2024-04-25,2024-05-03,Completed,4
ADV-0015,Design Approved - AI/ML Implementation Project 015,Design Approved,2024-05-22,2024-05-28,Completed,4
ADV-0015,Development Complete - AI/ML Implementation Project 015,Development Complete,2024-06-19,2024-07-03,Completed,1
ADV-0015,Testing Complete - AI/ML Implementation Project 015,Testing Complete,2024-07-16,2024-07-14,Completed,5
ADV-0015,Deployment - AI/ML Implementation Project 015,Deployment,2024-08-12,2024-08-18,Completed,2
ADV-0015,Go-Live - AI/ML Implementation Project 015,Go-Live,2024-09-09,2024-09-10,Completed,3
ADV-0016,Initiation - Digital Transformation Project 016,Initiation,2024-01-03,2024-01-11,Completed,2
ADV-0016,Planning Complete - Digital Transformation Project 016,Planning Complete,2024-05-25,2024-06-04,Completed,2
ADV-0016,Design Approved - Digital Transformation Project 016,Design Approved,2024-10-16,2024-10-23,Completed,4
ADV-0016,Development Complete - Digital Transformation Project 016,Development Complete,2025-03-08,2025-03-11,Completed,5
ADV-0016,Testing Complete - Digital Transformation Project 016,Testing Complete,2025-07-30,2025-07-28,Completed,3
ADV-0017,Initiation - AI/ML Implementation Project 017,Initiation,2023-06-17,2023-07-01,Completed,2
ADV-0017,Planning Complete - AI/ML Implementation Project 017,Planning Complete,2023-10-24,2023-10-29,Completed,1
ADV-0017,Design Approved - AI/ML Implementation Project 017,Design Approved,2024-03-01,2024-02-28,Completed,2
ADV-0017,Development Complete - AI/ML Implementation Project 017,Development Complete,2024-07-08,2024-07-03,Completed,3
ADV-0017,Testing Complete - AI/ML Implementation Project 017,Testing Complete,2024-11-14,2024-11-15,Completed,2
ADV-0017,Deployment - AI/ML Implementation Project 017,Deployment,2025-03-23,2025-03-28,Completed,4
ADV-0017,Go-Live - AI/ML Implementation Project 017,Go-Live,2025-07-30,2025-08-08,Completed,5
ADV-0018,Initiation - Cloud Migration Project 018,Initiation,2023-06-16,2023-06-20,Completed,2
ADV-0018,Planning Complete - Cloud Migration Project 018,Planning Complete,2023-10-17,2023-10-23,Completed,1
ADV-0018,Design Approved - Cloud Migration Project 018,Design Approved,2024-02-17,2024-02-16,Completed,2
ADV-0018,Development Complete - Cloud Migration Project 018,Development Complete,2024-06-20,2024-07-02,Completed,5
ADV-0019,Initiation - Software Development Project 019,Initiation,2023-07-18,2023-07-15,Completed,2
ADV-0019,Planning Complete - Software Development Project 019,Planning Complete,2023-12-13,2023-12-12,Completed,1
ADV-0019,Design Approved - Software Development Project 019,Design Approved,2024-05-10,2024-05-23,Completed,3
ADV-0019,Development Complete - Software Development Project 019,Development Complete,2024-10-05,2024-10-11,Completed,1
ADV-0019,Testing Complete - Software Development Project 019,Testing Complete,2025-03-03,2025-03-06,Completed,1
ADV-0019,Deployment - Software Development Project 019,Deployment,2025-07-30,2025-08-11,Completed,5
ADV-0020,Initiation - AI/ML Implementation Project 020,Initiation,2023-09-20,2023-09-18,Completed,2
ADV-0020,Planning Complete - AI/ML Implementation Project 020,Planning Complete,2024-03-07,2024-03-08,Completed,1
ADV-0020,Design Approved - AI/ML Implementation Project 020,Design Approved,2024-08-24,2024-09-04,Completed,5
ADV-0020,Development Complete - AI/ML Implementation Project 020,Development Complete,2025-02-10,2025-02-06,Completed,4
ADV-0020,Testing Complete - AI/ML Implementation Project 020,Testing Complete,2025-07-30,2025-08-04,Completed,1
ADV-0021,Initiation - Digital Transformation Project 021,Initiation,2023-09-28,2023-09-29,Completed,1
ADV-0021,Planning Complete - Digital Transformation Project 021,Planning Complete,2024-02-11,2024-02-22,Completed,2
ADV-0021,Design Approved - Digital Transformation Project 021,Design Approved,2024-06-27,2024-06-27,Completed,2
ADV-0021,Development Complete - Digital Transformation Project 021,Development Complete,2024-11-11,2024-11-06,Completed,2
ADV-0022,Initiation - Cloud Migration Project 022,Initiation,2024-02-14,2024-02-13,Completed,2
ADV-0022,Planning Complete - Cloud Migration Project 022,Planning Complete,2024-05-30,2024-06-09,Completed,1
ADV-0022,Design Approved - Cloud Migration Project 022,Design Approved,2024-09-13,2024-09-09,Completed,2
ADV-0022,Development Complete - Cloud Migration Project 022,Development Complete,2024-12-29,2024-12-25,Completed,3
ADV-0022,Testing Complete - Cloud Migration Project 022,Testing Complete,2025-04-14,2025-04-15,Completed,4
ADV-0022,Deployment - Cloud Migration Project 022,Deployment,2025-07-30,2025-08-08,Completed,4
ADV-0023,Initiation - AI/ML Implementation Project 023,Initiation,2024-04-04,2024-04-08,Completed,3
ADV-0023,Planning Complete - AI/ML Implementation Project 023,Planning Complete,2024-07-17,2024-07-30,Completed,1
ADV-0023,Design Approved - AI/ML Implementation Project 023,Design Approved,2024-10-29,2024-10-30,Completed,5
ADV-0023,Development Complete - AI/ML Implementation Project 023,Development Complete,2025-02-10,2025-02-24,Completed,2
ADV-0023,Testing Complete - AI/ML Implementation Project 023,Testing Complete,2025-05-26,2025-05-24,Completed,4
ADV-0024,Initiation - Software Development Project 024,Initiation,2023-06-14,2023-06-23,Completed,5
ADV-0024,Planning Complete - Software Development Project 024,Planning Complete,2023-12-25,2024-01-03,Completed,4
ADV-0024,Design Approved - Software Development Project 024,Design Approved,2024-07-06,2024-07-14,Completed,3
ADV-0024,Development Complete - Software Development Project 024,Development Complete,2025-01-16,2025-01-19,Completed,2
ADV-0024,Testing Complete - Software Development Project 024,Testing Complete,2025-07-29,2025-08-09,Completed,2
ADV-0025,Initiation - Software Development Project 025,Initiation,2024-03-14,2024-03-11,Completed,4
ADV-0025,Planning Complete - Software Development Project 025,Planning Complete,2024-03-30,2024-03-25,Completed,2
ADV-0025,Design Approved - Software Development Project 025,Design Approved,2024-04-15,2024-04-29,Completed,3
ADV-0025,Development Complete - Software Development Project 025,Development Complete,2024-05-02,2024-05-02,Completed,4
ADV-0025,Testing Complete - Software Development Project 025,Testing Complete,2024-05-18,2024-05-30,Completed,3
ADV-0025,Deployment - Software Development Project 025,Deployment,2024-06-04,2024-06-17,Completed,5
ADV-0026,Initiation - Data Analytics Project 026,Initiation,2023-09-10,2023-09-23,Completed,3
ADV-0026,Planning Complete - Data Analytics Project 026,Planning Complete,2024-02-29,2024-03-06,Completed,2
ADV-0026,Design Approved - Data Analytics Project 026,Design Approved,2024-08-19,2024-08-21,Completed,4
ADV-0026,Development Complete - Data Analytics Project 026,Development Complete,2025-02-07,2025-02-10,Completed,4
ADV-0026,Testing Complete - Data Analytics Project 026,Testing Complete,2025-07-30,2025-07-29,Completed,5
ADV-0027,Initiation - Data Analytics Project 027,Initiation,2024-06-01,2024-06-03,Completed,1
ADV-0027,Planning Complete - Data Analytics Project 027,Planning Complete,2024-10-20,2024-10-29,Completed,2
ADV-0027,Design Approved - Data Analytics Project 027,Design Approved,2025-03-10,2025-03-14,Completed,4
ADV-0027,Development Complete - Data Analytics Project 027,Development Complete,2025-07-30,2025-08-13,Completed,4
ADV-0028,Initiation - Digital Transformation Project 028,Initiation,2024-04-28,2024-04-24,Completed,3
ADV-0028,Planning Complete - Digital Transformation Project 028,Planning Complete,2024-06-19,2024-06-26,Completed,3
ADV-0028,Design Approved - Digital Transformation Project 028,Design Approved,2024-08-10,2024-08-22,Completed,3
ADV-0028,Development Complete - Digital Transformation Project 028,Development Complete,2024-10-01,2024-10-03,Completed,1
ADV-0028,Testing Complete - Digital Transformation Project 028,Testing Complete,2024-11-22,2024-11-17,Completed,5
ADV-0028,Deployment - Digital Transformation Project 028,Deployment,2025-01-14,2025-01-24,Completed,3
ADV-0029,Initiation - AI/ML Implementation Project 029,Initiation,2024-05-25,2024-05-24,Completed,4
ADV-0029,Planning Complete - AI/ML Implementation Project 029,Planning Complete,2024-08-04,2024-08-04,Completed,3
ADV-0029,Design Approved - AI/ML Implementation Project 029,Design Approved,2024-10-15,2024-10-18,Completed,4
ADV-0029,Development Complete - AI/ML Implementation Project 029,Development Complete,2024-12-26,2024-12-31,Completed,1
ADV-0029,Testing Complete - AI/ML Implementation Project 029,Testing Complete,2025-03-08,2025-03-15,Completed,5
ADV-0029,Deployment - AI/ML Implementation Project 029,Deployment,2025-05-19,2025-05-26,Completed,2
ADV-0029,Go-Live - AI/ML Implementation Project 029,Go-Live,2025-07-30,2025-07-28,Completed,4
ADV-0030,Initiation - AI/ML Implementation Project 030,Initiation,2024-03-06,2024-03-06,Completed,2
ADV-0030,Planning Complete - AI/ML Implementation Project 030,Planning Complete,2024-05-13,2024-05-12,Completed,1
ADV-0030,Design Approved - AI/ML Implementation Project 030,Design Approved,2024-07-20,2024-07-17,Completed,1
ADV-0030,Development Complete - AI/ML Implementation Project 030,Development Complete,2024-09-26,2024-09-24,Completed,1
ADV-0031,Initiation - Data Analytics Project 031,Initiation,2024-01-01,2024-01-15,Completed,2
ADV-0031,Planning Complete - Data Analytics Project 031,Planning Complete,2024-07-11,2024-07-10,Completed,3
ADV-0031,Design Approved - Data Analytics Project 031,Design Approved,2025-01-19,2025-01-22,Completed,4
ADV-0031,Development Complete - Data Analytics Project 031,Development Complete,2025-07-30,2025-07-30,Completed,2
ADV-0032,Initiation - AI/ML Implementation Project 032,Initiation,2023-09-21,2023-09-21,Completed,3
ADV-0032,Planning Complete - AI/ML Implementation Project 032,Planning Complete,2024-02-03,2024-02-09,Completed,1
ADV-0032,Design Approved - AI/ML Implementation Project 032,Design Approved,2024-06-18,2024-06-23,Completed,2
ADV-0032,Development Complete - AI/ML Implementation Project 032,Development Complete,2024-10-31,2024-11-09,Completed,4
ADV-0032,Testing Complete - AI/ML Implementation Project 032,Testing Complete,2025-03-16,2025-03-22,Completed,1
ADV-0032,Deployment - AI/ML Implementation Project 032,Deployment,2025-07-30,2025-07-26,Completed,3
ADV-0033,Initiation - AI/ML Implementation Project 033,Initiation,2024-01-16,2024-01-22,Completed,4
ADV-0033,Planning Complete - AI/ML Implementation Project 033,Planning Complete,2024-05-07,2024-05-17,Completed,5
ADV-0033,Design Approved - AI/ML Implementation Project 033,Design Approved,2024-08-27,2024-08-22,Completed,5
ADV-0033,Development Complete - AI/ML Implementation Project 033,Development Complete,2024-12-17,2024-12-14,Completed,4
ADV-0033,Testing Complete - AI/ML Implementation Project 033,Testing Complete,2025-04-08,2025-04-04,Completed,1
ADV-0033,Deployment - AI/ML Implementation Project 033,Deployment,2025-07-30,2025-08-12,Completed,2
ADV-0034,Initiation - Software Development Project 034,Initiation,2024-03-28,2024-04-02,Completed,1
ADV-0034,Planning Complete - Software Development Project 034,Planning Complete,2024-07-28,2024-08-07,Completed,1
ADV-0034,Design Approved - Software Development Project 034,Design Approved,2024-11-27,2024-11-26,Completed,4
ADV-0034,Development Complete - Software Development Project 034,Development Complete,2025-03-29,2025-04-03,Completed,3
ADV-0034,Testing Complete - Software Development Project 034,Testing Complete,2025-07-30,2025-07-27,Completed,1
ADV-0035,Initiation - Data Analytics Project 035,Initiation,2023-10-21,2023-11-04,Completed,5
ADV-0035,Planning Complete - Data Analytics Project 035,Planning Complete,2024-05-23,2024-06-02,Completed,2
ADV-0035,Design Approved - Data Analytics Project 035,Design Approved,2024-12-25,2024-12-21,Completed,3
ADV-0035,Development Complete - Data Analytics Project 035,Development Complete,2025-07-29,2025-07-31,Completed,4
ADV-0036,Initiation - Cloud Migration Project 036,Initiation,2023-06-04,2023-06-13,Completed,1
ADV-0036,Planning Complete - Cloud Migration Project 036,Planning Complete,2023-08-01,2023-08-15,Completed,4
ADV-0036,Design Approved - Cloud Migration Project 036,Design Approved,2023-09-28,2023-09-23,Completed,3
ADV-0036,Development Complete - Cloud Migration Project 036,Development Complete,2023-11-25,2023-11-23,Completed,2
ADV-0036,Testing Complete - Cloud Migration Project 036,Testing Complete,2024-01-22,2024-01-31,Completed,5
ADV-0037,Initiation - Data Analytics Project 037,Initiation,2024-06-23,2024-06-20,Completed,1
ADV-0037,Planning Complete - Data Analytics Project 037,Planning Complete,2024-09-19,2024-09-27,Completed,4
ADV-0037,Design Approved - Data Analytics Project 037,Design Approved,2024-12-16,2024-12-24,Completed,4
ADV-0037,Development Complete - Data Analytics Project 037,Development Complete,2025-03-14,2025-03-20,Completed,1
ADV-0038,Initiation - Cloud Migration Project 038,Initiation,2023-08-21,2023-08-22,Completed,1
ADV-0038,Planning Complete - Cloud Migration Project 038,Planning Complete,2023-12-05,2023-12-02,Completed,4
ADV-0038,Design Approved - Cloud Migration Project 038,Design Approved,2024-03-20,2024-03-27,Completed,2
ADV-0038,Development Complete - Cloud Migration Project 038,Development Complete,2024-07-05,2024-07-18,Completed,1
ADV-0039,Initiation - Software Development Project 039,Initiation,2024-05-23,2024-05-23,Completed,3
ADV-0039,Planning Complete - Software Development Project 039,Planning Complete,2024-08-03,2024-07-30,Completed,4
ADV-0039,Design Approved - Software Development Project 039,Design Approved,2024-10-14,2024-10-16,Completed,3
ADV-0039,Development Complete - Software Development Project 039,Development Complete,2024-12-25,2025-01-07,Completed,3
ADV-0039,Testing Complete - Software Development Project 039,Testing Complete,2025-03-07,2025-03-21,Completed,1
ADV-0039,Deployment - Software Development Project 039,Deployment,2025-05-18,2025-05-20,Completed,2
ADV-0039,Go-Live - Software Development Project 039,Go-Live,2025-07-30,2025-07-30,Completed,1
ADV-0040,Initiation - Digital Transformation Project 040,Initiation,2024-01-03,2024-01-16,Completed,3
ADV-0040,Planning Complete - Digital Transformation Project 040,Planning Complete,2024-07-12,2024-07-09,Completed,2
ADV-0040,Design Approved - Digital Transformation Project 040,Design Approved,2025-01-19,2025-02-01,Completed,1
ADV-0040,Development Complete - Digital Transformation Project 040,Development Complete,2025-07-29,2025-08-12,Completed,5
ADV-0041,Initiation - AI/ML Implementation Project 041,Initiation,2023-11-22,2023-11-23,Completed,1
ADV-0041,Planning Complete - AI/ML Implementation Project 041,Planning Complete,2024-04-24,2024-05-07,Completed,4
ADV-0041,Design Approved - AI/ML Implementation Project 041,Design Approved,2024-09-25,2024-10-03,Completed,5
ADV-0041,Development Complete - AI/ML Implementation Project 041,Development Complete,2025-02-26,2025-02-24,Completed,1
ADV-0041,Testing Complete - AI/ML Implementation Project 041,Testing Complete,2025-07-30,2025-08-02,Completed,1
ADV-0042,Initiation - Software Development Project 042,Initiation,2023-10-21,2023-11-04,Completed,1
ADV-0042,Planning Complete - Software Development Project 042,Planning Complete,2024-03-31,2024-04-08,Completed,3
ADV-0042,Design Approved - Software Development Project 042,Design Approved,2024-09-09,2024-09-06,Completed,1
ADV-0042,Development Complete - Software Development Project 042,Development Complete,2025-02-18,2025-02-26,Completed,1
ADV-0042,Testing Complete - Software Development Project 042,Testing Complete,2025-07-30,2025-07-28,Completed,3
ADV-0043,Initiation - AI/ML Implementation Project 043,Initiation,2023-08-19,2023-08-17,Completed,4
ADV-0043,Planning Complete - AI/ML Implementation Project 043,Planning Complete,2023-12-15,2023-12-17,Completed,2
ADV-0043,Design Approved - AI/ML Implementation Project 043,Design Approved,2024-04-12,2024-04-15,Completed,5
ADV-0043,Development Complete - AI/ML Implementation Project 043,Development Complete,2024-08-08,2024-08-16,Completed,1
ADV-0043,Testing Complete - AI/ML Implementation Project 043,Testing Complete,2024-12-05,2024-12-15,Completed,5
ADV-0043,Deployment - AI/ML Implementation Project 043,Deployment,2025-04-02,2025-04-13,Completed,4
ADV-0043,Go-Live - AI/ML Implementation Project 043,Go-Live,2025-07-30,2025-07-27,Completed,3
ADV-0044,Initiation - Digital Transformation Project 044,Initiation,2023-09-19,2023-09-27,Completed,2
ADV-0044,Planning Complete - Digital Transformation Project 044,Planning Complete,2024-03-07,2024-03-06,Completed,4
ADV-0044,Design Approved - Digital Transformation Project 044,Design Approved,2024-08-24,2024-08-23,Completed,3
ADV-0044,Development Complete - Digital Transformation Project 044,Development Complete,2025-02-10,2025-02-16,Completed,1
ADV-0044,Testing Complete - Digital Transformation Project 044,Testing Complete,2025-07-30,2025-08-02,Completed,5
ADV-0045,Initiation - Digital Transformation Project 045,Initiation,2024-06-25,2024-06-28,Completed,4
ADV-0045,Planning Complete - Digital Transformation Project 045,Planning Complete,2024-09-13,2024-09-10,Completed,1
ADV-0045,Design Approved - Digital Transformation Project 045,Design Approved,2024-12-02,2024-11-28,Completed,1
ADV-0045,Development Complete - Digital Transformation Project 045,Development Complete,2025-02-20,2025-02-22,Completed,5
ADV-0045,Testing Complete - Digital Transformation Project 045,Testing Complete,2025-05-11,2025-05-20,Completed,4
ADV-0045,Deployment - Digital Transformation Project 045,Deployment,2025-07-30,2025-08-05,Completed,1
ADV-0046,Initiation - Software Development Project 046,Initiation,2023-11-20,2023-12-03,Completed,2
ADV-0046,Planning Complete - Software Development Project 046,Planning Complete,2024-03-02,2024-03-16,Completed,5
ADV-0046,Design Approved - Software Development Project 046,Design Approved,2024-06-13,2024-06-15,Completed,5
ADV-0046,Development Complete - Software Development Project 046,Development Complete,2024-09-24,2024-10-07,Completed,4
ADV-0046,Testing Complete - Software Development Project 046,Testing Complete,2025-01-05,2025-01-18,Completed,4
ADV-0046,Deployment - Software Development Project 046,Deployment,2025-04-18,2025-04-19,Completed,4
ADV-0046,Go-Live - Software Development Project 046,Go-Live,2025-07-30,2025-07-28,Completed,4
ADV-0047,Initiation - Digital Transformation Project 047,Initiation,2023-07-23,2023-07-30,Completed,3
ADV-0047,Planning Complete - Digital Transformation Project 047,Planning Complete,2024-01-23,2024-01-29,Completed,2
ADV-0047,Design Approved - Digital Transformation Project 047,Design Approved,2024-07-25,2024-07-21,Completed,3
ADV-0047,Development Complete - Digital Transformation Project 047,Development Complete,2025-01-25,2025-01-28,Completed,1
ADV-0047,Testing Complete - Digital Transformation Project 047,Testing Complete,2025-07-29,2025-07-31,Completed,1
ADV-0048,Initiation - Cloud Migration Project 048,Initiation,2023-07-18,2023-07-30,Completed,1
ADV-0048,Planning Complete - Cloud Migration Project 048,Planning Complete,2024-01-19,2024-01-25,Completed,2
ADV-0048,Design Approved - Cloud Migration Project 048,Design Approved,2024-07-23,2024-07-25,Completed,3
ADV-0048,Development Complete - Cloud Migration Project 048,Development Complete,2025-01-25,2025-01-29,Completed,1
ADV-0048,Testing Complete - Cloud Migration Project 048,Testing Complete,2025-07-30,2025-08-06,Completed,1
ADV-0049,Initiation - Digital Transformation Project 049,Initiation,2023-12-12,2023-12-09,Completed,3
ADV-0049,Planning Complete - Digital Transformation Project 049,Planning Complete,2024-04-09,2024-04-19,Completed,5
ADV-0049,Design Approved - Digital Transformation Project 049,Design Approved,2024-08-06,2024-08-20,Completed,1
ADV-0049,Development Complete - Digital Transformation Project 049,Development Complete,2024-12-03,2024-12-10,Completed,5
ADV-0049,Testing Complete - Digital Transformation Project 049,Testing Complete,2025-04-01,2025-04-01,Completed,1
ADV-0049,Deployment - Digital Transformation Project 049,Deployment,2025-07-29,2025-08-06,Completed,1
ADV-0050,Initiation - AI/ML Implementation Project 050,Initiation,2023-07-20,2023-07-22,Completed,3
ADV-0050,Planning Complete - AI/ML Implementation Project 050,Planning Complete,2023-11-20,2023-12-04,Completed,4
ADV-0050,Design Approved - AI/ML Implementation Project 050,Design Approved,2024-03-22,2024-03-17,Completed,2
ADV-0050,Development Complete - AI/ML Implementation Project 050,Development Complete,2024-07-24,2024-07-25,Completed,5
ADV-0050,Testing Complete - AI/ML Implementation Project 050,Testing Complete,2024-11-24,2024-12-05,Completed,2
ADV-0050,Deployment - AI/ML Implementation Project 050,Deployment,2025-03-27,2025-04-01,Completed,1
ADV-0050,Go-Live - AI/ML Implementation Project 050,Go-Live,2025-07-29,2025-08-01,Completed,5
ADV-0051,Initiation - AI/ML Implementation Project 051,Initiation,2023-12-01,2023-12-12,Completed,1
