project_id,date,planned_budget,actual_spent,cumulative_planned,cumulative_actual,variance_percentage
PROJ_017,2024-10-04,63248.83,44591.58,374294.47,423733.9,6.51
PROJ_017,2024-11-03,63248.83,52534.51,436676.88,476268.41,5.22
PROJ_018,2024-03-30,79855.92,87602.78,0.0,87602.78,9.14
PROJ_018,2024-04-29,79855.92,79088.79,78762.0,166691.58,9.18
PROJ_018,2024-05-29,79855.92,56153.73,157524.0,222845.3,6.82
PROJ_018,2024-06-28,79855.92,94445.34,236286.0,317290.64,8.45
PROJ_018,2024-07-28,79855.92,92927.19,315048.0,410217.83,9.93
PROJ_018,2024-08-27,79855.92,82175.85,393810.0,492393.68,10.29
PROJ_019,2024-06-26,87882.83,65022.57,0.0,65022.57,6.17
PROJ_019,2024-07-26,87882.83,101936.09,86678.96,166958.67,7.61
PROJ_019,2024-08-25,87882.83,92297.03,173357.92,259255.69,8.15
PROJ_019,2024-09-24,87882.83,102750.5,260036.88,362006.19,9.67
PROJ_019,2024-10-24,87882.83,101157.38,346715.84,463163.57,11.04
PROJ_019,2024-11-23,87882.83,103860.04,433394.79,567023.61,12.67
PROJ_019,2024-12-23,87882.83,88832.39,520073.75,655856.0,12.88
PROJ_020,2024-06-08,40000.17,31367.92,0.0,31367.92,6.53
PROJ_020,2024-07-08,40000.17,44107.96,39452.22,75475.88,7.5
PROJ_021,2024-03-15,90997.58,97575.28,0.0,97575.28,8.94
PROJ_021,2024-04-14,90997.58,104224.26,89751.04,201799.53,10.26
PROJ_021,2024-05-14,90997.58,72973.56,179502.08,274773.1,8.72
PROJ_021,2024-06-13,90997.58,74343.67,269253.12,349116.77,7.31
PROJ_021,2024-07-13,90997.58,112313.38,359004.16,461430.15,9.38
PROJ_022,2024-06-11,17691.33,20344.8,0.0,20344.8,9.58
PROJ_022,2024-07-11,17691.33,22024.6,17448.99,42369.39,11.74
PROJ_022,2024-08-10,17691.33,20437.54,34897.97,62806.94,13.15
PROJ_022,2024-09-09,17691.33,18722.62,52346.96,81529.56,13.75
PROJ_022,2024-10-09,17691.33,19327.42,69795.95,100856.98,14.63
PROJ_022,2024-11-08,17691.33,21821.85,87244.93,122678.83,16.69
PROJ_022,2024-12-08,17691.33,18527.85,104693.92,141206.68,17.2
PROJ_022,2025-01-07,17691.33,19096.64,122142.9,160303.32,17.98
PROJ_023,2024-05-14,36034.58,28607.35,0.0,28607.35,6.62
PROJ_023,2024-06-13,36034.58,35470.74,35540.96,64078.09,6.6
PROJ_023,2024-07-13,36034.58,40713.25,71081.92,104791.34,7.8
PROJ_023,2024-08-12,36034.58,31082.19,106622.88,135873.54,6.76
PROJ_023,2024-09-11,36034.58,29597.1,142163.84,165470.63,5.39
PROJ_023,2024-10-11,36034.58,32009.38,177704.79,197480.01,4.57
PROJ_023,2024-11-10,36034.58,30445.63,213245.75,227925.64,3.39
PROJ_023,2024-12-10,36034.58,29870.78,248786.71,257796.43,2.08
PROJ_024,2024-01-27,46669.33,44565.04,0.0,44565.04,7.96
PROJ_024,2024-02-26,46669.33,58089.46,46030.03,102654.5,10.11
PROJ_025,2024-06-20,42135.67,42314.14,0.0,42314.14,8.37
PROJ_025,2024-07-20,42135.67,34245.86,41558.47,76560.0,6.92
PROJ_025,2024-08-19,42135.67,31440.92,83116.93,108000.92,4.92
PROJ_025,2024-09-18,42135.67,47094.77,124675.4,155095.69,6.02
PROJ_025,2024-10-18,42135.67,39172.66,166233.86,194268.34,5.54
PROJ_025,2024-11-17,42135.67,50272.0,207792.33,244540.35,7.27
PROJ_025,2024-12-17,42135.67,46168.32,249350.79,290708.67,8.18
PROJ_025,2025-01-16,42135.67,49625.07,290909.26,340333.73,9.77
PROJ_025,2025-02-15,42135.67,36370.14,332467.73,376703.88,8.75
