project_id,stage_name,stage_order,planned_start,planned_end,actual_start,completion_percentage,status,milestone_met
PROJ_010,Procurement,4,2024-09-09,2024-10-20,2024-09-09,100.0,Completed,False
PROJ_010,Construction,5,2024-10-20,2024-11-30,2024-10-20,100.0,Completed,True
PROJ_010,Testing,6,2024-11-30,2025-01-10,2024-11-30,100.0,Completed,True
PROJ_010,Handover,7,2025-01-10,2025-02-20,2025-01-10,21.6,In Progress,False
PROJ_011,Initiation,1,2024-04-05,2024-05-10,2024-04-05,100.0,Completed,True
PROJ_011,Planning,2,2024-05-10,2024-06-15,2024-05-10,100.0,Completed,False
PROJ_011,Design,3,2024-06-15,2024-07-21,2024-06-15,100.0,Completed,True
PROJ_011,Procurement,4,2024-07-21,2024-08-26,2024-07-21,100.0,Completed,True
PROJ_011,Construction,5,2024-08-26,2024-10-01,2024-08-26,100.0,Completed,False
PROJ_011,Testing,6,2024-10-01,2024-11-06,2024-10-01,100.0,Completed,True
PROJ_011,Handover,7,2024-11-06,2024-12-11,2024-11-06,100.0,In Progress,True
PROJ_012,Initiation,1,2024-03-02,2024-03-25,2024-03-02,100.0,Completed,True
PROJ_012,Planning,2,2024-03-25,2024-04-17,2024-03-25,100.0,Completed,True
PROJ_012,Design,3,2024-04-17,2024-05-10,2024-04-17,100.0,Completed,True
PROJ_012,Procurement,4,2024-05-10,2024-06-03,2024-05-10,100.0,Completed,True
PROJ_012,Construction,5,2024-06-03,2024-06-26,2024-06-03,100.0,Completed,False
PROJ_012,Testing,6,2024-06-26,2024-07-19,2024-06-26,100.0,Completed,False
PROJ_012,Handover,7,2024-07-19,2024-08-12,2024-07-19,100.0,In Progress,True
PROJ_013,Initiation,1,2024-05-08,2024-06-21,2024-05-08,100.0,Completed,True
PROJ_013,Planning,2,2024-06-21,2024-08-05,2024-06-21,100.0,Completed,True
PROJ_013,Design,3,2024-08-05,2024-09-18,2024-08-05,100.0,Completed,False
PROJ_013,Procurement,4,2024-09-18,2024-11-02,2024-09-18,100.0,Completed,False
PROJ_013,Construction,5,2024-11-02,2024-12-16,2024-11-02,100.0,Completed,True
PROJ_013,Testing,6,2024-12-16,2025-01-30,2024-12-16,100.0,Completed,False
PROJ_013,Handover,7,2025-01-30,2025-03-16,2025-01-30,100.0,In Progress,True
PROJ_014,Initiation,1,2024-02-28,2024-03-26,2024-02-28,100.0,Completed,True
PROJ_014,Planning,2,2024-03-26,2024-04-22,2024-03-26,100.0,Completed,True
PROJ_014,Design,3,2024-04-22,2024-05-19,2024-04-22,100.0,Completed,True
PROJ_014,Procurement,4,2024-05-19,2024-06-15,2024-05-19,100.0,Completed,True
PROJ_014,Construction,5,2024-06-15,2024-07-12,2024-06-15,100.0,Completed,True
PROJ_014,Testing,6,2024-07-12,2024-08-08,2024-07-12,100.0,Completed,True
PROJ_014,Handover,7,2024-08-08,2024-09-04,2024-08-08,100.0,In Progress,False
PROJ_015,Initiation,1,2024-04-22,2024-05-10,2024-04-22,100.0,Completed,True
PROJ_015,Planning,2,2024-05-10,2024-05-29,2024-05-10,100.0,Completed,True
PROJ_015,Design,3,2024-05-29,2024-06-16,2024-05-29,100.0,Completed,True
PROJ_015,Procurement,4,2024-06-16,2024-07-05,2024-06-16,100.0,Completed,True
PROJ_015,Construction,5,2024-07-05,2024-07-23,2024-07-05,100.0,Completed,True
PROJ_015,Testing,6,2024-07-23,2024-08-11,2024-07-23,100.0,Completed,True
PROJ_015,Handover,7,2024-08-11,2024-08-30,2024-08-11,100.0,In Progress,True
PROJ_016,Initiation,1,2024-06-08,2024-07-10,2024-06-08,100.0,Completed,True
PROJ_016,Planning,2,2024-07-10,2024-08-11,2024-07-10,100.0,Completed,True
PROJ_016,Design,3,2024-08-11,2024-09-13,2024-08-11,100.0,Completed,True
PROJ_016,Procurement,4,2024-09-13,2024-10-15,2024-09-13,100.0,Completed,True
PROJ_016,Construction,5,2024-10-15,2024-11-17,2024-10-15,100.0,Completed,True
PROJ_016,Testing,6,2024-11-17,2024-12-19,2024-11-17,100.0,Completed,True
PROJ_016,Handover,7,2024-12-19,2025-01-21,2024-12-19,69.9,In Progress,False
PROJ_017,Initiation,1,2024-04-07,2024-05-09,2024-04-07,100.0,Completed,True
PROJ_017,Planning,2,2024-05-09,2024-06-10,2024-05-09,100.0,Completed,True
PROJ_017,Design,3,2024-06-10,2024-07-13,2024-06-10,100.0,Completed,True
PROJ_017,Procurement,4,2024-07-13,2024-08-14,2024-07-13,100.0,Completed,True
PROJ_017,Construction,5,2024-08-14,2024-09-16,2024-08-14,100.0,Completed,True
PROJ_017,Testing,6,2024-09-16,2024-10-18,2024-09-16,100.0,Completed,False
PROJ_017,Handover,7,2024-10-18,2024-11-20,2024-10-18,100.0,In Progress,False
PROJ_018,Initiation,1,2024-03-30,2024-04-24,2024-03-30,100.0,Completed,False
PROJ_018,Planning,2,2024-04-24,2024-05-19,2024-04-24,100.0,Completed,True
PROJ_018,Design,3,2024-05-19,2024-06-13,2024-05-19,100.0,Completed,True
PROJ_018,Procurement,4,2024-06-13,2024-07-08,2024-06-13,100.0,Completed,True
PROJ_018,Construction,5,2024-07-08,2024-08-02,2024-07-08,100.0,Completed,True
PROJ_018,Testing,6,2024-08-02,2024-08-27,2024-08-02,100.0,Completed,True
PROJ_018,Handover,7,2024-08-27,2024-09-22,2024-08-27,100.0,In Progress,True
PROJ_019,Initiation,1,2024-06-26,2024-07-21,2024-06-26,100.0,Completed,False
PROJ_019,Planning,2,2024-07-21,2024-08-16,2024-07-21,100.0,Completed,True
PROJ_019,Design,3,2024-08-16,2024-09-11,2024-08-16,100.0,Completed,True
PROJ_019,Procurement,4,2024-09-11,2024-10-06,2024-09-11,100.0,Completed,True
PROJ_019,Construction,5,2024-10-06,2024-11-01,2024-10-06,100.0,Completed,True
PROJ_019,Testing,6,2024-11-01,2024-11-27,2024-11-01,100.0,Completed,True
PROJ_019,Handover,7,2024-11-27,2024-12-23,2024-11-27,55.9,In Progress,True
PROJ_020,Initiation,1,2024-06-08,2024-06-13,2024-06-08,100.0,Completed,True
PROJ_020,Planning,2,2024-06-13,2024-06-18,2024-06-13,100.0,Completed,True
PROJ_020,Design,3,2024-06-18,2024-06-24,2024-06-18,100.0,Completed,False
PROJ_020,Procurement,4,2024-06-24,2024-06-29,2024-06-24,100.0,Completed,False
PROJ_020,Construction,5,2024-06-29,2024-07-05,2024-06-29,100.0,Completed,True
PROJ_020,Testing,6,2024-07-05,2024-07-10,2024-07-05,100.0,Completed,True
PROJ_020,Handover,7,2024-07-10,2024-07-16,2024-07-10,63.6,In Progress,False
PROJ_021,Initiation,1,2024-03-15,2024-04-04,2024-03-15,100.0,Completed,False
PROJ_021,Planning,2,2024-04-04,2024-04-24,2024-04-04,100.0,Completed,True
PROJ_021,Design,3,2024-04-24,2024-05-14,2024-04-24,100.0,Completed,True
PROJ_021,Procurement,4,2024-05-14,2024-06-04,2024-05-14,100.0,Completed,True
PROJ_021,Construction,5,2024-06-04,2024-06-24,2024-06-04,100.0,Completed,False
PROJ_021,Testing,6,2024-06-24,2024-07-14,2024-06-24,100.0,Completed,False
PROJ_021,Handover,7,2024-07-14,2024-08-04,2024-07-14,100.0,In Progress,True
PROJ_022,Initiation,1,2024-06-11,2024-07-14,2024-06-11,100.0,Completed,False
PROJ_022,Planning,2,2024-07-14,2024-08-17,2024-07-14,100.0,Completed,True
PROJ_022,Design,3,2024-08-17,2024-09-20,2024-08-17,100.0,Completed,False
PROJ_022,Procurement,4,2024-09-20,2024-10-24,2024-09-20,100.0,Completed,True
PROJ_022,Construction,5,2024-10-24,2024-11-27,2024-10-24,100.0,Completed,False
PROJ_022,Testing,6,2024-11-27,2024-12-31,2024-11-27,100.0,Completed,True
PROJ_022,Handover,7,2024-12-31,2025-02-02,2024-12-31,100.0,In Progress,True
PROJ_023,Initiation,1,2024-05-14,2024-06-15,2024-05-14,100.0,Completed,True
PROJ_023,Planning,2,2024-06-15,2024-07-17,2024-06-15,100.0,Completed,False
PROJ_023,Design,3,2024-07-17,2024-08-18,2024-07-17,100.0,Completed,False
PROJ_023,Procurement,4,2024-08-18,2024-09-19,2024-08-18,100.0,Completed,False
PROJ_023,Construction,5,2024-09-19,2024-10-21,2024-09-19,100.0,Completed,False
PROJ_023,Testing,6,2024-10-21,2024-11-22,2024-10-21,100.0,Completed,True
PROJ_023,Handover,7,2024-11-22,2024-12-24,2024-11-22,39.1,In Progress,False
PROJ_024,Initiation,1,2024-01-27,2024-02-04,2024-01-27,100.0,Completed,True
PROJ_024,Planning,2,2024-02-04,2024-02-12,2024-02-04,100.0,Completed,True
PROJ_024,Design,3,2024-02-12,2024-02-20,2024-02-12,100.0,Completed,True
PROJ_024,Procurement,4,2024-02-20,2024-02-28,2024-02-20,100.0,Completed,True
PROJ_024,Construction,5,2024-02-28,2024-03-07,2024-02-28,100.0,Completed,True
PROJ_024,Testing,6,2024-03-07,2024-03-15,2024-03-07,100.0,Completed,True
PROJ_024,Handover,7,2024-03-15,2024-03-23,2024-03-15,100.0,In Progress,True
PROJ_025,Initiation,1,2024-06-20,2024-07-25,2024-06-20,100.0,Completed,True
PROJ_025,Planning,2,2024-07-25,2024-08-30,2024-07-25,100.0,Completed,True
PROJ_025,Design,3,2024-08-30,2024-10-04,2024-08-30,100.0,Completed,False
PROJ_025,Procurement,4,2024-10-04,2024-11-09,2024-10-04,100.0,Completed,True
PROJ_025,Construction,5,2024-11-09,2024-12-14,2024-11-09,100.0,Completed,False
PROJ_025,Testing,6,2024-12-14,2025-01-19,2024-12-14,100.0,Completed,True
PROJ_025,Handover,7,2025-01-19,2025-02-24,2025-01-19,100.0,In Progress,True
